characteristic	TPi count	FNi count	ExB count	TPi rel freq	FNi rel freq	ExB rel freq	FNi p_val	ExB p_val
m. r.	56	196	394	0.057971014492753624	0.3072100313479624	0.25534672715489304	0.0	0.0
m. c.	29	149	296	0.030020703933747412	0.2335423197492163	0.1918340894361633	0.0	0.0
C > 0	0	95	151	0.0	0.14890282131661442	0.09786130913804278	0.0	0.0
D > 0	29	61	155	0.030020703933747412	0.09561128526645768	0.10045366169799093	5.440092820663267E-15	0.0
has c	29	37	108	0.030020703933747412	0.05799373040752351	0.06999351911860013	1.4746366274909217E-4	2.220446049250313E-15
has m	15	26	55	0.015527950310559006	0.04075235109717868	0.0356448476992871	1.2373745005178627E-5	2.9070193474645123E-8
has f	50	91	178	0.051759834368530024	0.1426332288401254	0.11535968891769281	0.0	0.0
